词语,频次
发展,167
经济,151
实体,127
金融,114
高质量,112
数字,107
效应,65
产业结构,57
控制,47
水平,41
地区,41
it,39
空间,34
研究,28
检验,24
产业,24
升级,23
作用,20
高级化,20
推动,20
合理化,19
企业,19
技术,18
创新,18
省份,17
邻近地区,17
数据,17
统计,17
系数,17
影响,15
要素,15
赋能,15
模型,14
中介,14
分析,13
固定,13
中西部,12
东部,12
提供,12
提高,12
real,12
dig,12
生产,12
机制,11
资源,11
间接,11
360,11
提升,10
溢出,10
本文,10
支持,10
加快,10
变量,10
中国,9
进一步,9
有助于,9
政府,9
假设,8
信息,8
促使,8
实证,8
决策,8
共享,8
质量,8
程度,8
年鉴,8
2023,8
2022,7
计量,7
2025,7
建立,7
转型,7
协调,7
驱动,7
权重,7
评价,7
衡量,7
GDP,7
相关性,7
the,7
选取,6
正向,6
区域,6
异质性,6
我国,6
科技,6
展开,6
综合,6
总第,6
663,6
时间,6
控制变量,6
结构,6
万元,6
收入,6
样本,6
稳健性,6
社会科学,6
发现,5
关键,5
金融服务,5
行业,5
助力,5
活动,5
资金,5
Med,5
2.2,5
生态,5
对外开放,5
指标,5
工业,5
指数,5
1%,5
细究,5
其因,5
城市化,5
推进,5
学报,5
of,5
管理,4
考察,4
30,4
结果表明,4
高于,4
释放,4
探讨,4
维度,4
现代化,4
核心,4
智能,4
模式,4
融资,4
场景,4
加速,4
市场,4
学者,4
环境,4
金融机构,4
传统,4
10,4
可知,4
理论,4
过程,4
优质,4
资本,4
优势,4
嵌入,4
优化,4
引导,4
环节,4
指标体系,4
规模,4
大学,4
人均,4
采用,4
支配,4
产值,4
干预,4
回归,4
显著性,4
常数,4
R2,4
矩阵,4
0.546,4
结论,4
2024,4
and,4
学院,3
哈尔滨,3
2011,3
效果,3
特征,3
依托,3
背景,3
持续,3
配置,3
效率,3
深度,3
带来,3
相关,3
精准,3
基础,3
打造,3
数智化,3
构建,3
筑牢,3
计算,3
之间,3
耦合,3
创业,3
动能,3
成果,3
视角,3
距离,3
提出,3
平台,3
杜宾,3
路径,3
现实,3
社会,3
12,3
服务,3
流动,3
内容,3
16,3
活力,3
和谐,3
知识,3
页表,3
比重,3
人力资本,3
平均,3
人数,3
增加值,3
剔除,3
万人,3
各项,3
普惠,3
莫兰,3
ij,3
r2,3
测算,3
数值,3
意味着,3
CSH,3
CSG,3
gov,3
urb,3
labor,3
open,3
人才,3
促进作用,3
原因,3
0.335,3
4.045,3
0.552,3
得证,3
大于,3
132,3
228,3
充分发挥,3
quality,3
high,3
文章,2
对象,2
红利,2
传导,2
文献,2
二者之间,2
面临,2
解决,2
建设,2
融合,2
形态,2
智慧,2
资产,2
引入,2
传统产业,2
选择,2
打破,2
匹配,2
利用,2
新一代,2
信息技术,2
主体,2
中国式,2
实践,2
有机,2
价值,2
转移,2
因素,2
财税,2
激励,2
11,2
体系结构,2
营商,2
根基,2
金融监管,2
转向,2
关系,2
差异,2
结构性,2
监管,2
完善,2
领域,2
具备,2
一系列,2
有利于,2
广度,2
欠发达,2
表现,2
变动,2
产出,2
有助,2
关联性,2
双向,2
重塑,2
竞争,2
获取,2
集聚,2
理化,2
代表,2
体系,2
符号,2
产业链,2
解释,2
虚拟,2
这一,2
13,2
金融业,2
14,2
数字化,2
需求,2
系统,2
表征,2
内涵,2
绿色,2
理念,2
协同,2
流通,2
现有,2
15,2
融入,2
密集型,2
单位,2
从业人员,2
总量,2
年末,2
余额,2
人员,2
高技术,2
投资,2
城市,2
数据库,2
每万人,2
公共,2
面积,2
平方米,2
组织,2
治理,2
稳定,2
如表,2
所示,2
0.087,2
0.591,2
借鉴,2
17,2
增强,2
快速,2
人口,2
改变,2
参与者,2
年份,2
Moran,2
sI,2
李海奇,2
张晶,2
18,2
0.431,2
1.722,2
2019,2
0.492,2
2020,2
2016,2
下同,2
5%,2
充足,2
第一,2
较慢,2
滞后,2
0.449,2
外部,2
直辖市,2
基准,2
地理,2
分解,2
0.415,2
3.126,2
0.942,2
0.562,2
0.579,2
证明,2
0.443,2
中西,2
困境,2
4.054,2
0.773,2
至列,2
针对性,2
改革,2
二是,2
稳步,2
因地制宜,2
激活,2
44,2
机理,2
36,2
China,2
development,2
economy,2
in,2
central,2
western,2
that,2
region,2
DOI,1
10.13546,1
cnki,1
tjyjc.2025,1
03.024,1
东北,1
林业大学,1
150040,1
贸易,1
150030,1
响及,1
对三大,1
邻地,1
赋能作,1
呈现,1
证实,1
关键词,1
分类号,1
F224.9,1
标识码,1
编号,1
1002,1
6487,1
03,1
0141,1
06,1
引言,1
出发,1
一国,1
财富,1
创造,1
驱动力,1
国式,1
国内外,1
形势,1
生产成本,1
居高不下,1
参考,1
偏低,1
脱虚向实,1
窘境,1
突破,1
瓶颈,1
社会主义,1
议题,1
衍生,1
新型,1
1.1,1
公众,1
化发展,1
深耕,1
变革,1
引领,1
下逐,1
技术手段,1
便捷,1
灵活,1
孤岛,1
条件,1
供需,1
高效,1
高质,1
凝聚,1
裂变,1
个性化,1
制服,1
二者,1
扎实,1
支撑,1
意义,1
化为,1
纵观,1
既有,1
学术界,1
功能,1
缓解,1
以往,1
另一方,1
助于,1
差异化,1
偏向,1
等现,1
分配模式,1
抑制,1
监管部门,1
应用领域,1
拓展,1
人防,1
智控,1
技防,1
探究,1
部门,1
服务平台,1
风险,1
区域性,1
发挥,1
长效,1
健康,1
宏观调控,1
梳理,1
已形,1
开放性,1
变化,1
享性,1
缩短,1
传递,1
时空,1
传播,1
基金项目,1
黑龙江省,1
普通本科,1
高等学校,1
青年,1
人才培养,1
项目,1
UNPYSCT,1
2020026,1
作者简介,1
黑龙江,1
绥化,1
博士,1
研究生,1
讲师,1
方向,1
林业,1
1986,1
141,1
分散,1
孤立,1
状态,1
对此,1
发达,1
区域合作,1
交流,1
流向,1
契机,1
设计,1
2.1,1
1.2,1
一项,1
长期,1
持续性,1
动态,1
强且,1
各个环节,1
调整,1
SDM,1
摆脱,1
储备,1
匮乏,1
对称,1
桎梏,1
技术创新,1
国际,1
竞争力,1
邻接,1
随机,1
扰动,1
降低,1
风控,1
成本,1
聚合,1
资源配置,1
可借,1
金融工具,1
方案,1
盘活,1
链条,1
效益,1
人力,1
合理配置,1
分工,1
细化,1
专业化,1
协作,1
具体来讲,1
义同,1
信息流,1
资金流,1
商贸,1
物流,1
交易,1
设定,1
关联,1
高度,1
依存,1
运作,1
概念,1
之外,1
国民经济,1
互联网,1
房地产,1
契合,1
打通,1
综合性,1
动态性,1
较难,1
单一,1
基础设施,1
常态,1
可持,1
生产力,1
开放,1
互动,1
纳入,1
注入,1
涉及,1
数量,1
稳定增长,1
转换,1
人民,1
生态环境,1
改善,1
上云,1
用数,1
赋智,1
供应链,1
价值链,1
五个,1
高端化,1
内驱力,1
劳动密集型,1
转为,1
142,1
目标,1
导向,1
措施,1
总人口,1
十万人,1
高等职业,1
在校生,1
以本,1
进出口,1
总额,1
向度,1
属性,1
2.3,1
来源,1
可得性,1
营业,1
利润总额,1
主营业务,1
经济效益,1
房地产业,1
