词语,情感得分
金融,0.9508196721311476
量化,0.5
创新,0.7777777777777779
发展,0.8450704225352111
投资,0.8703703703703702
科技,0.7619047619047622
俞洋,0.5
市场,0.69811320754717
责任,0.3537414965986396
华鑫,0.5
证券,0.5
行业,0.7600000000000001
机构,0.4782608695652175
担当,0.6666666666666666
资本,0.9444444444444444
驱动,0.3092710544939845
经济,0.5925925925925926
推动,0.8
服务,0.5110059658506481
2025,0.5
高质量,0.6328602767293197
金牛,0.7604293245521014
策略,0.8333333333333333
交易,0.2820512820512824
投资者,0.9583333333333334
数据,0.6078431372549018
提供,0.4406504065040652
坚守,0.8888888888888888
核心,0.9230769230769229
转型,0.7499999999999999
实体,0.6206896551724135
中国,0.7349726775956282
专业,0.6012461059190034
合规,0.919379520686286
系统化,0.5
生态,0.8333333333333333
优化,0.625
守护,0.9333333333333333
合法权益,0.1837233963534416
风险,0.5624999999999997
能力,0.7307692307692306
五篇,0.6388164688288362
文章,0.5896414342629481
公司,0.4777448071216617
体系,0.814814814814815
证券报,0.2958440034376999
11,0.27457627118644046
大会,0.8333333333333333
颁奖典礼,0.4737672181921908
党委书记,0.5
